PostalCode,Borough,Neighborhood
M3A,North York,Parkwoods
M4A,North York,Victoria Village
M5A,Downtown Toronto,"Regent Park, Harbourfront"
M6A,North York,"Lawrence Manor, Lawrence Heights"
M7A,Queen's Park,Ontario Provincial Government
M9A,Etobicoke,Islington Avenue
M1B,Scarborough,"Malvern, Rouge"
M3B,North York,Don Mills
M4B,East York,"Parkview Hill, Woodbine Gardens"
M5B,Downtown Toronto,"Garden District, Ryerson"
M6B,North York,Glencairn
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
M3C,North York,"Don Mills, Flemingdon Park"
M4C,East York,Woodbine Heights
M5C,Downtown Toronto,St. James Town
M6C,York,Humewood-Cedarvale
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
M1E,Scarborough,"Guildwood, Morningside, West Hill"
M4E,The Beaches,The Beaches
M5E,Downtown Toronto,Berczy Park
M6E,York,Caledonia-Fairbanks
M1G,Scarborough,Woburn
M4G,East York,Leaside
M5G,Downtown Toronto,Bay Street
M6G,Downtown Toronto,Christie
M1H,Scarborough,Cedarbrae
M2H,North York,Hillcrest Village
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview"
M4H,East York,Thorncliffe Park
M5H,Downtown Toronto,"Richmond, Adelaide, King"
M6H,Dufferin,Dovercourt Village
M1J,Scarborough,Scarborough Village
M2J,North York,"Fairview, Henry Farm, Oriole"
M3J,North York,"Northwood Park, York University"
M4J,East York,The Danforth
M5J,Downtown Toronto,"Harbourfront, Union Station, Toronto Islands"
M6J,Little Portugal,"Little Portugal, Trinity"
M1K,Scarborough,"Kennedy Park, Ionview, Birchmount Park"
M2K,North York,Bayview Village
M3K,North York,"Downsview, CFB Toronto"
M4K,The Danforth,"The Danforth West, Riverdale"
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
M6K,Brockton,"Brockton, Parkdale Village, Exhibition Place"
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge"
M2L,North York,"York Mills, Silver Hills"
M3L,North York,Downsview
M4L,India Bazaar,"India Bazaar, The Beaches West"
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
M6L,North York,"North Park, Maple Leaf Park, Upwood Park"
M9L,North York,Humber Summit
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village"
M2M,North York,"Willowdale, Newtonbrook"
M3M,North York,Downsview
M4M,East Toronto,Studio District
M5M,North York,"Bedford Park, Lawrence Manor"
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
M9M,North York,"Humberlea, Emery"
M1N,Scarborough,"Birch Cliff, Cliffside"
M2N,North York,Willowdale
M3N,North York,Downsview
M4N,Lawrence Park,Lawrence Park
M5N,Central Toronto,Roselawn
M6N,York,"Runnymede, The Junction"
M9N,York,Weston
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
M2P,North York,York Mills
M4P,Davisville,Davisville North
M5P,Forest Hill,Forest Hill North & West
M6P,High Park,The Junction South
M9P,Etobicoke,Westmount
M1R,Scarborough,"Wexford, Maryvale"
M2R,North York,Willowdale
M4R,North Toronto,North Toronto West
M5R,The Annex,"The Annex, North Midtown, Yorkville"
M6R,Parkdale,"Parkdale, Roncesvalles"
M7R,Mississauga,Canada Post Gateway Processing Centre (Enclave of L4W)
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
M1S,Scarborough,Agincourt
M4S,Davisville,Davisville
M5S,Downtown Toronto,"University of Toronto, Harbord"
M6S,Runnymede,"Runnymede, Swansea"
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
M4T,Moore Park,"Moore Park, Summerhill East"
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
M1V,Scarborough,"Milliken, Agincourt North, Steeles, L'Amoreaux"
M4V,Summerhill,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
M1W,Scarborough,"Steeles, L'Amoreaux"
M4W,Downtown Toronto,Rosedale
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade (Enclave of M5E)
M8W,Etobicoke,"Alderwood, Long Branch"
M9W,Etobicoke,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale"
M1X,Scarborough,Upper Rouge
M4X,Downtown Toronto,"St. James Town, Cabbagetown"
M5X,Downtown Toronto,"First Canadian Place, Underground city"
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M4Y,Downtown Toronto,Church and Wellesley
M7Y,Business reply mail,Business reply mail Processing Centre 969 Eastern (Enclave of M4L)
M8Y,Etobicoke,"Old Mill, Sunnylea, Humber Bay, Mimico, The Queensway"
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
